Dimension,"3,759","1,681","1,189",841,686,594,532,485,449,420,396,376
Node%,1,5,10,20,30,40,50,60,70,80,90,100
Node Density (node/km2),3.539,17.693,35.386,70.771,106.157,141.543,176.929,212.314,247.700,283.086,318.471,353.857
1RVs,0.1593,0.6923,0.7610,0.8324,0.8324,0.8681,0.8571,0.8709,0.8791,0.8736,0.8846,0.8874
2RVs,0.1793,0.7123,0.7910,0.8624,0.8624,0.9081,0.8971,0.9109,0.9291,0.9236,0.9346,0.9374
3RVs,0.2293,0.7623,0.8410,0.9124,0.9124,0.9581,0.9471,0.9609,0.9891,0.9836,0.9946,0.9974
4RVs,0.2493,0.7823,0.8610,0.9474,0.9474,0.9931,0.9491,0.9629,0.9911,0.9856,0.9966,0.9994
