Dimension,"3,759","1,681","1,189",841,686,594,532,485,449,420,396,376,
Node%,1,5,10,20,30,40,50,60,70,80,90,100,
Node Density (node/km2),3.539,17.693,35.386,70.771,106.157,141.543,176.929,212.314,247.700,283.086,318.471,353.857,
Epidemic,0.0055,0.0192,0.1291,0.2610,0.4093,0.6923,0.6923,0.8489,0.8269,0.8214,0.8709,0.8819,
DRONE Dynamic,0.2549,1.1077,1.2176,1.3318,1.3318,1.3890,1.3714,1.3934,1.4066,1.3978,1.4154,1.4198,
DRONE Predefined,1.2669,1.4286,1.4637,1.4549,1.4725,1.4813,1.4901,1.4901,1.4858,1.4901,1.4946,1.4946,
,397.0496,28.9759,20.2102,9.2383,10.5598,6.6467,8.6571,6.9354,5.6308,6.6049,5.5957,5.2626,42.6139
,4534.1818,5669.1667,843.1448,410.2835,225.3946,100.6298,98.0875,64.1465,70.1004,70.1680,62.5169,60.9978,
