Node Density,100%,50.00,30.00,10.00,5.00,4.00,3.00,2.00,1.00
Dimension,350,532,686,1189,1681,1880,2171,2659,3760
Area,122500,282743.00,471238.33,1413715.00,2827430.00,3534287.50,4712383.33,7068575.00,14137150.00
1 Rendezvous,0.9845,0.9588,0.9423,0.8434,0.7103,0.7088,0.5522,0.3159,0.0604
2 Rendezvous,0.9863,0.9560,0.9505,0.8736,0.7280,0.7593,0.5769,0.3407,0.0824
3 Rendezvous,0.9863,0.9698,0.9523,0.8762,0.7418,0.7813,0.5797,0.3819,0.1319
4 Rendezvous,0.9865,0.9715,0.9568,0.8891,0.7855,0.7963,0.6071,0.4011,0.1484
Epidemic,0.9533,0.9066,0.8379,0.6236,0.3242,0.1676,0.1456,0.0797,0.0165
